key,kind,description,units,weight,cross_wires
MCR209030,RET       ,MALLA CRIBA 2X2 0.90 X 30               ,RL     ,28.7,
MCR20910,RET       ,MALLA CRIBA 2X2 0.90 X 10 MTS           ,RL     ,1,
MCR4410,RET       ,MALLA CRIBA 4X4 X 10 MTS                ,RL     ,23.15,
MD500200_MQ,MAQ       ,MAQUILA MALLA DIVISEL 5.00 X 2.00  MTS  ,HOJ    ,20.64,53
MD520209_MQ,MAQ       ,MAQUILA MALLA DIVISEL 5.20 X 2.09  MTS  ,HOJ    ,21.057,52
MDP142550,MDP       ,MET. DESP. P/PLAFOND CAL14  25*50 M     ,PZA    ,1,
MDP169011,MDP       ,MET. DESP. P/PLAFOND CAL16 0.90*11.00 M ,RL     ,4.5,
MDP500,MDP       ,MET. DESP. P/PLAFOND # 500 0.91*22.00 M ,RL     ,8,
MDP600,MDP       ,MET. DESP. P/PLAFOND # 600 0.91*22.00 M ,RL     ,12,
MEDICAMENTO,SER       ,MEDICAMENTO                             ,PZA  ,0,
MELSCRAP,MEL       ,MALLA SCRAP                             ,KG     ,1,
MGG100,RET       ,MALLA GANADERA GALVANIZADA DE 1.00 M    ,RL     ,25,
MGG120,RET       ,MALLA GANADERA GALV. DE 1.20 M          ,RL     ,28,
MGP223 REF,MDP       ,MALLA GRANO PLATA 2X2 3 ML REF.         ,RL     ,0,
MGR14050ML,RET       ,MALLA GANADERA EN ROLLO 1.40X50ML       ,RL     ,0,
MH1050441101025,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.10 X 10.25 M,HOJ    ,14.18,
MH1050441101100,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.10 X 11.00 M,HOJ    ,15.27,110
MH105044110700,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.10 X 7.00 M ,HOJ    ,9.75,70
MH1050441111000,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 10.00 M,HOJ    ,14,110
MH10504M11111,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 11.00 M,HOJ    ,12.5,112
MH10504M11112,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 12.00 M,HOJ    ,17.239,119
MH10504M111625,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 7.10 M ,HOJ    ,8.98,62
MH10504M111710,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 7.10 M ,HOJ    ,10.2,71
MH10504M111830,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 8.30 M ,HOJ    ,11.923,83
MH10504M111870,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 8.70 mt,HOJ    ,12.5,88
MH10504M111950,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 9.50 MT,HOJ    ,13.648,95
MH10504M118,MEL       ,MALLA EN HOJA 10X50 4M/4M 1.11 X 8.00 MT,HOJ    ,11.1,80
